departamento_id,departamento_nombre,provincia_id,provincia_nombre,anio,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
39,2 de Abril,22,Chaco,2023,19,Dengue,12,Mayores de 65 años,1
35,Ledesma,38,Jujuy,2023,19,Dengue,12,Mayores de 65 años,3
658,Quilmes,6,Buenos Aires,2023,19,Dengue,7,De 15 a 19 años,2
63,Lules,90,Tucumán,2023,19,Dengue,12,Mayores de 65 años,2
98,Río Cuarto,14,Córdoba,2023,19,Dengue,11,De 45 a 65 años,2
21,Chicligasta,90,Tucumán,2023,19,Dengue,11,De 45 a 65 años,3
12,COMUNA 12,2,CABA,2023,19,Dengue,6,De 10 a 14 años,3
28,Famaillá,90,Tucumán,2023,19,Dengue,6,De 10 a 14 años,2
4,COMUNA 4,2,CABA,2023,19,Dengue,12,Mayores de 65 años,1
10,COMUNA 10,2,CABA,2023,19,Dengue,12,Mayores de 65 años,1
539,Merlo,6,Buenos Aires,2023,19,Dengue,7,De 15 a 19 años,3
21,Comandante Fernández,22,Chaco,2023,19,Dengue,7,De 15 a 19 años,4
84,Paraná,30,Entre Ríos,2023,19,Dengue,6,De 10 a 14 años,2
14,Capital,46,La Rioja,2023,19,Dengue,11,De 45 a 65 años,8
77,Río Chico,90,Tucumán,2023,19,Dengue,6,De 10 a 14 años,1
126,Orán,66,Salta,2023,19,Dengue,4,De 2 a 4 años,1
119,Yerba Buena,90,Tucumán,2023,19,Dengue,4,De 2 a 4 años,1
63,Lules,90,Tucumán,2023,19,Dengue,5,De 5 a 9 años,3
13,COMUNA 13,2,CABA,2023,19,Dengue,9,De 25 a 34 años,2
56,Grl. José de San Martín,66,Salta,2023,19,Dengue,5,De 5 a 9 años,1
21,Capital,18,Corrientes,2023,19,Dengue,11,De 45 a 65 años,19
35,Avellaneda,6,Buenos Aires,2023,19,Dengue,6,De 10 a 14 años,1
35,Banda,86,Santiago del Estero,2023,19,Dengue,6,De 10 a 14 años,8
70,Santa Bárbara,38,Jujuy,2023,19,Dengue,5,De 5 a 9 años,2
126,1a de Mayo,22,Chaco,2023,19,Dengue,11,De 45 a 65 años,2
112,O'Higgins,22,Chaco,2023,19,Dengue,11,De 45 a 65 años,7
999,desconocido,99,desconocida,2023,19,Dengue,12,Mayores de 65 años,1
133,Vera,82,Santa Fe,2023,19,Dengue,11,De 45 a 65 años,2
70,Las Colonias,82,Santa Fe,2023,19,Dengue,11,De 45 a 65 años,3
56,Leales,90,Tucumán,2023,19,Dengue,8,De 20 a 24 años,1
49,General Obligado,82,Santa Fe,2023,19,Dengue,8,De 20 a 24 años,18
441,La Plata,6,Buenos Aires,2023,19,Dengue,6,De 10 a 14 años,1
760,San Miguel,6,Buenos Aires,2023,19,Dengue,6,De 10 a 14 años,1
14,Cruz Alta,90,Tucumán,2023,19,Dengue,6,De 10 a 14 años,2
999,desconocido,2,CABA,2023,19,Dengue,8,De 20 a 24 años,1
70,Monteros,90,Tucumán,2023,19,Dengue,12,Mayores de 65 años,1
35,Banda,86,Santiago del Estero,2023,19,Dengue,7,De 15 a 19 años,8
15,COMUNA 15,2,CABA,2023,19,Dengue,11,De 45 a 65 años,1
42,General San Martín,14,Córdoba,2023,19,Dengue,11,De 45 a 65 años,2
119,San Lorenzo,82,Santa Fe,2023,19,Dengue,8,De 20 a 24 años,1
35,Banda,86,Santiago del Estero,2023,19,Dengue,11,De 45 a 65 años,17
14,Cruz Alta,90,Tucumán,2023,19,Dengue,10,De 35 a 44 años,11
126,San Alberto,14,Córdoba,2023,19,Dengue,11,De 45 a 65 años,1
7,Almirante Brown,22,Chaco,2023,19,Dengue,10,De 35 a 44 años,6
70,Las Colonias,82,Santa Fe,2023,19,Dengue,7,De 15 a 19 años,1
28,Capital,66,Salta,2023,19,Dengue,12,Mayores de 65 años,5
91,Maipú,22,Chaco,2023,19,Dengue,11,De 45 a 65 años,1
133,Rivadavia,66,Salta,2023,19,Dengue,12,Mayores de 65 años,1
7,Calamuchita,14,Córdoba,2023,19,Dengue,11,De 45 a 65 años,1
56,General Donovan,22,Chaco,2023,19,Dengue,10,De 35 a 44 años,1
999,desconocido,99,desconocida,2023,19,Dengue,6,De 10 a 14 años,1
21,Castellanos,82,Santa Fe,2023,19,Dengue,8,De 20 a 24 años,8
63,General Güemes,22,Chaco,2023,19,Dengue,6,De 10 a 14 años,3
63,Iguazú,54,Misiones,2023,19,Dengue,7,De 15 a 19 años,1
14,Capital,46,La Rioja,2023,19,Dengue,10,De 35 a 44 años,4
126,Orán,66,Salta,2023,19,Dengue,5,De 5 a 9 años,4
105,Tafí Viejo,90,Tucumán,2023,19,Dengue,7,De 15 a 19 años,13
182,Unión,14,Córdoba,2023,19,Dengue,7,De 15 a 19 años,1
126,Orán,66,Salta,2023,19,Dengue,11,De 45 a 65 años,27
49,Pilcomayo,34,Formosa,2023,19,Dengue,9,De 25 a 34 años,7
14,El Carmen,38,Jujuy,2023,19,Dengue,11,De 45 a 65 años,11
105,9 de Julio,22,Chaco,2023,19,Dengue,12,Mayores de 65 años,6
140,Rosario de la Frontera,66,Salta,2023,19,Dengue,5,De 5 a 9 años,1
189,Silípica,86,Santiago del Estero,2023,19,Dengue,10,De 35 a 44 años,1
63,General Güemes,22,Chaco,2023,19,Dengue,12,Mayores de 65 años,7
427,La Matanza,6,Buenos Aires,2023,19,Dengue,12,Mayores de 65 años,2
840,Tres de Febrero,6,Buenos Aires,2023,19,Dengue,12,Mayores de 65 años,2
91,Punilla,14,Córdoba,2023,19,Dengue,7,De 15 a 19 años,1
70,Independencia,22,Chaco,2023,19,Dengue,11,De 45 a 65 años,4
39,2 de Abril,22,Chaco,2023,19,Dengue,11,De 45 a 65 años,1
28,Capital,66,Salta,2023,19,Dengue,6,De 10 a 14 años,5
224,Chivilcoy,6,Buenos Aires,2023,19,Dengue,11,De 45 a 65 años,1
105,Río Primero,14,Córdoba,2023,19,Dengue,8,De 20 a 24 años,3
105,Tafí Viejo,90,Tucumán,2023,19,Dengue,8,De 20 a 24 años,15
35,Graneros,90,Tucumán,2023,19,Dengue,5,De 5 a 9 años,1
70,Monteros,90,Tucumán,2023,19,Dengue,9,De 25 a 34 años,2
112,O'Higgins,22,Chaco,2023,19,Dengue,6,De 10 a 14 años,2
